name,council_year,meet_year,councilor_id,district_id,meet_name,meet_type,attended,total
吳仕福,2015,2019,288,15,財務及行政委員會,定期,3,3
區能發,2015,2019,290,15,財務及行政委員會,定期,3,3
陳繼偉,2015,2019,291,15,財務及行政委員會,定期,1,3
周賢明,2015,2019,293,15,財務及行政委員會,定期,3,3
張展鵬,2015,2019,294,15,財務及行政委員會,定期,3,3
張美雄,2015,2019,295,15,財務及行政委員會,定期,3,3
莊元苳,2015,2019,296,15,財務及行政委員會,定期,2,3
鍾錦麟,2015,2019,297,15,財務及行政委員會,定期,3,3
何民傑,2015,2019,301,15,財務及行政委員會,定期,3,3
簡兆祺,2015,2019,302,15,財務及行政委員會,定期,2,3
黎銘澤,2015,2019,303,15,財務及行政委員會,定期,3,3
劉啟康,2015,2019,305,15,財務及行政委員會,定期,2,2
劉偉章,2015,2019,306,15,財務及行政委員會,定期,3,3
李家良,2015,2019,308,15,財務及行政委員會,定期,2,3
呂文光,2015,2019,309,15,財務及行政委員會,定期,3,3
譚領律,2015,2019,311,15,財務及行政委員會,定期,2,3
温啟明,2015,2019,313,15,財務及行政委員會,定期,3,3
温悦昌,2015,2019,314,15,財務及行政委員會,定期,3,3
王水生,2015,2019,315,15,財務及行政委員會,定期,3,3
邱玉麟,2015,2019,316,15,財務及行政委員會,定期,3,3
成漢强,2015,2019,317,15,財務及行政委員會,定期,1,1
凌文海,2015,2019,289,15,房屋及環境衞生委員會,定期,3,3
區能發,2015,2019,290,15,房屋及環境衞生委員會,定期,2,3
陳繼偉,2015,2019,291,15,房屋及環境衞生委員會,定期,2,3
陳博智,2015,2019,292,15,房屋及環境衞生委員會,定期,3,3
周賢明,2015,2019,293,15,房屋及環境衞生委員會,定期,3,3
張美雄,2015,2019,295,15,房屋及環境衞生委員會,定期,3,3
莊元苳,2015,2019,296,15,房屋及環境衞生委員會,定期,3,3
鍾錦麟,2015,2019,297,15,房屋及環境衞生委員會,定期,3,3
范國威,2015,2019,298,15,房屋及環境衞生委員會,定期,3,3
方國珊,2015,2019,299,15,房屋及環境衞生委員會,定期,2,3
邱戊秀,2015,2019,300,15,房屋及環境衞生委員會,定期,3,3
何民傑,2015,2019,301,15,房屋及環境衞生委員會,定期,3,3
簡兆祺,2015,2019,302,15,房屋及環境衞生委員會,定期,3,3
黎銘澤,2015,2019,303,15,房屋及環境衞生委員會,定期,3,3
林少忠,2015,2019,304,15,房屋及環境衞生委員會,定期,3,3
劉偉章,2015,2019,306,15,房屋及環境衞生委員會,定期,3,3
梁里,2015,2019,307,15,房屋及環境衞生委員會,定期,3,3
李家良,2015,2019,308,15,房屋及環境衞生委員會,定期,3,3
呂文光,2015,2019,309,15,房屋及環境衞生委員會,定期,3,3
陸平才,2015,2019,310,15,房屋及環境衞生委員會,定期,2,3
譚領律,2015,2019,311,15,房屋及環境衞生委員會,定期,2,3
謝正楓,2015,2019,312,15,房屋及環境衞生委員會,定期,3,3
温啟明,2015,2019,313,15,房屋及環境衞生委員會,定期,3,3
温悦昌,2015,2019,314,15,房屋及環境衞生委員會,定期,3,3
邱玉麟,2015,2019,316,15,房屋及環境衞生委員會,定期,3,3
成漢强,2015,2019,317,15,房屋及環境衞生委員會,定期,1,2
凌文海,2015,2019,289,15,房屋及環境衞生委員會,特別,1,1
區能發,2015,2019,290,15,房屋及環境衞生委員會,特別,1,1
陳繼偉,2015,2019,291,15,房屋及環境衞生委員會,特別,0,1
陳博智,2015,2019,292,15,房屋及環境衞生委員會,特別,1,1
周賢明,2015,2019,293,15,房屋及環境衞生委員會,特別,1,1
張美雄,2015,2019,295,15,房屋及環境衞生委員會,特別,0,1
莊元苳,2015,2019,296,15,房屋及環境衞生委員會,特別,1,1
鍾錦麟,2015,2019,297,15,房屋及環境衞生委員會,特別,1,1
范國威,2015,2019,298,15,房屋及環境衞生委員會,特別,1,1
方國珊,2015,2019,299,15,房屋及環境衞生委員會,特別,1,1
邱戊秀,2015,2019,300,15,房屋及環境衞生委員會,特別,1,1
何民傑,2015,2019,301,15,房屋及環境衞生委員會,特別,1,1
簡兆祺,2015,2019,302,15,房屋及環境衞生委員會,特別,1,1
黎銘澤,2015,2019,303,15,房屋及環境衞生委員會,特別,1,1
林少忠,2015,2019,304,15,房屋及環境衞生委員會,特別,1,1
劉偉章,2015,2019,306,15,房屋及環境衞生委員會,特別,1,1
梁里,2015,2019,307,15,房屋及環境衞生委員會,特別,1,1
李家良,2015,2019,308,15,房屋及環境衞生委員會,特別,1,1
呂文光,2015,2019,309,15,房屋及環境衞生委員會,特別,1,1
陸平才,2015,2019,310,15,房屋及環境衞生委員會,特別,0,1
譚領律,2015,2019,311,15,房屋及環境衞生委員會,特別,0,1
謝正楓,2015,2019,312,15,房屋及環境衞生委員會,特別,0,1
温啟明,2015,2019,313,15,房屋及環境衞生委員會,特別,1,1
温悦昌,2015,2019,314,15,房屋及環境衞生委員會,特別,1,1
邱玉麟,2015,2019,316,15,房屋及環境衞生委員會,特別,1,1
吳仕福,2015,2019,288,15,社會服務及健康安全城市委員會,定期,2,3
區能發,2015,2019,290,15,社會服務及健康安全城市委員會,定期,3,3
陳繼偉,2015,2019,291,15,社會服務及健康安全城市委員會,定期,2,3
周賢明,2015,2019,293,15,社會服務及健康安全城市委員會,定期,3,3
張展鵬,2015,2019,294,15,社會服務及健康安全城市委員會,定期,3,3
張美雄,2015,2019,295,15,社會服務及健康安全城市委員會,定期,3,3
莊元苳,2015,2019,296,15,社會服務及健康安全城市委員會,定期,3,3
鍾錦麟,2015,2019,297,15,社會服務及健康安全城市委員會,定期,3,3
何民傑,2015,2019,301,15,社會服務及健康安全城市委員會,定期,3,3
簡兆祺,2015,2019,302,15,社會服務及健康安全城市委員會,定期,3,3
黎銘澤,2015,2019,303,15,社會服務及健康安全城市委員會,定期,3,3
劉偉章,2015,2019,306,15,社會服務及健康安全城市委員會,定期,3,3
李家良,2015,2019,308,15,社會服務及健康安全城市委員會,定期,3,3
呂文光,2015,2019,309,15,社會服務及健康安全城市委員會,定期,3,3
陸平才,2015,2019,310,15,社會服務及健康安全城市委員會,定期,2,3
譚領律,2015,2019,311,15,社會服務及健康安全城市委員會,定期,3,3
謝正楓,2015,2019,312,15,社會服務及健康安全城市委員會,定期,3,3
温啟明,2015,2019,313,15,社會服務及健康安全城市委員會,定期,3,3
邱玉麟,2015,2019,316,15,社會服務及健康安全城市委員會,定期,3,3
成漢强,2015,2019,317,15,社會服務及健康安全城市委員會,定期,1,2
凌文海,2015,2019,289,15,交通及運輸委員會,定期,3,3
區能發,2015,2019,290,15,交通及運輸委員會,定期,3,3
陳繼偉,2015,2019,291,15,交通及運輸委員會,定期,2,3
陳博智,2015,2019,292,15,交通及運輸委員會,定期,2,3
周賢明,2015,2019,293,15,交通及運輸委員會,定期,3,3
張美雄,2015,2019,295,15,交通及運輸委員會,定期,3,3
莊元苳,2015,2019,296,15,交通及運輸委員會,定期,3,3
鍾錦麟,2015,2019,297,15,交通及運輸委員會,定期,3,3
范國威,2015,2019,298,15,交通及運輸委員會,定期,3,3
方國珊,2015,2019,299,15,交通及運輸委員會,定期,3,3
邱戊秀,2015,2019,300,15,交通及運輸委員會,定期,1,3
何民傑,2015,2019,301,15,交通及運輸委員會,定期,3,3
簡兆祺,2015,2019,302,15,交通及運輸委員會,定期,3,3
黎銘澤,2015,2019,303,15,交通及運輸委員會,定期,3,3
林少忠,2015,2019,304,15,交通及運輸委員會,定期,3,3
劉啟康,2015,2019,305,15,交通及運輸委員會,定期,1,1
劉偉章,2015,2019,306,15,交通及運輸委員會,定期,3,3
梁里,2015,2019,307,15,交通及運輸委員會,定期,3,3
李家良,2015,2019,308,15,交通及運輸委員會,定期,3,3
呂文光,2015,2019,309,15,交通及運輸委員會,定期,3,3
陸平才,2015,2019,310,15,交通及運輸委員會,定期,3,3
譚領律,2015,2019,311,15,交通及運輸委員會,定期,3,3
謝正楓,2015,2019,312,15,交通及運輸委員會,定期,3,3
温啟明,2015,2019,313,15,交通及運輸委員會,定期,3,3
温悦昌,2015,2019,314,15,交通及運輸委員會,定期,3,3
邱玉麟,2015,2019,316,15,交通及運輸委員會,定期,3,3
吳仕福,2015,2019,288,15,社區重點項目計劃委員會,定期,3,3
陳博智,2015,2019,292,15,社區重點項目計劃委員會,定期,2,3
周賢明,2015,2019,293,15,社區重點項目計劃委員會,定期,3,3
莊元苳,2015,2019,296,15,社區重點項目計劃委員會,定期,3,3
鍾錦麟,2015,2019,297,15,社區重點項目計劃委員會,定期,1,3
邱戊秀,2015,2019,300,15,社區重點項目計劃委員會,定期,3,3
何民傑,2015,2019,301,15,社區重點項目計劃委員會,定期,3,3
簡兆祺,2015,2019,302,15,社區重點項目計劃委員會,定期,2,3
黎銘澤,2015,2019,303,15,社區重點項目計劃委員會,定期,3,3
劉啟康,2015,2019,305,15,社區重點項目計劃委員會,定期,1,1
劉偉章,2015,2019,306,15,社區重點項目計劃委員會,定期,3,3
李家良,2015,2019,308,15,社區重點項目計劃委員會,定期,3,3
呂文光,2015,2019,309,15,社區重點項目計劃委員會,定期,3,3
王水生,2015,2019,315,15,社區重點項目計劃委員會,定期,2,3
邱玉麟,2015,2019,316,15,社區重點項目計劃委員會,定期,3,3
成漢强,2015,2019,317,15,社區重點項目計劃委員會,定期,2,2
吳仕福,2015,2016,288,15,區議會,定期,6,6
成漢强,2015,2016,317,15,區議會,定期,6,6
區能發,2015,2016,290,15,區議會,定期,6,6
陳繼偉,2015,2016,291,15,區議會,定期,6,6
陳博智,2015,2016,292,15,區議會,定期,6,6
周賢明,2015,2016,293,15,區議會,定期,6,6
張展鵬,2015,2016,294,15,區議會,定期,6,6
張美雄,2015,2016,295,15,區議會,定期,5,6
莊元苳,2015,2016,296,15,區議會,定期,6,6
鍾錦麟,2015,2016,297,15,區議會,定期,6,6
范國威,2015,2016,298,15,區議會,定期,6,6
方國珊,2015,2016,299,15,區議會,定期,5,6
邱戊秀,2015,2016,300,15,區議會,定期,5,6
何民傑,2015,2016,301,15,區議會,定期,6,6
簡兆祺,2015,2016,302,15,區議會,定期,6,6
黎銘澤,2015,2016,303,15,區議會,定期,6,6
林少忠,2015,2016,304,15,區議會,定期,6,6
劉偉章,2015,2016,306,15,區議會,定期,6,6
梁里,2015,2016,307,15,區議會,定期,6,6
李家良,2015,2016,308,15,區議會,定期,6,6
凌文海,2015,2016,289,15,區議會,定期,6,6
呂文光,2015,2016,309,15,區議會,定期,6,6
陸平才,2015,2016,310,15,區議會,定期,6,6
譚領律,2015,2016,311,15,區議會,定期,6,6
謝正楓,2015,2016,312,15,區議會,定期,6,6
温啟明,2015,2016,313,15,區議會,定期,6,6
温悦昌,2015,2016,314,15,區議會,定期,6,6
王水生,2015,2016,315,15,區議會,定期,5,6
邱玉麟,2015,2016,316,15,區議會,定期,5,6
吳仕福,2015,2016,288,15,區議會,特別,1,1
成漢强,2015,2016,317,15,區議會,特別,1,1
區能發,2015,2016,290,15,區議會,特別,1,1
陳繼偉,2015,2016,291,15,區議會,特別,1,1
陳博智,2015,2016,292,15,區議會,特別,1,1
周賢明,2015,2016,293,15,區議會,特別,1,1
張展鵬,2015,2016,294,15,區議會,特別,1,1
張美雄,2015,2016,295,15,區議會,特別,1,1
莊元苳,2015,2016,296,15,區議會,特別,1,1
鍾錦麟,2015,2016,297,15,區議會,特別,1,1
范國威,2015,2016,298,15,區議會,特別,1,1
方國珊,2015,2016,299,15,區議會,特別,1,1
邱戊秀,2015,2016,300,15,區議會,特別,1,1
何民傑,2015,2016,301,15,區議會,特別,1,1
簡兆祺,2015,2016,302,15,區議會,特別,1,1
黎銘澤,2015,2016,303,15,區議會,特別,1,1
林少忠,2015,2016,304,15,區議會,特別,1,1
劉偉章,2015,2016,306,15,區議會,特別,1,1
梁里,2015,2016,307,15,區議會,特別,1,1
李家良,2015,2016,308,15,區議會,特別,1,1
凌文海,2015,2016,289,15,區議會,特別,1,1
呂文光,2015,2016,309,15,區議會,特別,1,1
陸平才,2015,2016,310,15,區議會,特別,0,1
譚領律,2015,2016,311,15,區議會,特別,1,1
謝正楓,2015,2016,312,15,區議會,特別,1,1
温啟明,2015,2016,313,15,區議會,特別,1,1
温悦昌,2015,2016,314,15,區議會,特別,1,1
王水生,2015,2016,315,15,區議會,特別,1,1
邱玉麟,2015,2016,316,15,區議會,特別,1,1
吳仕福,2015,2016,288,15,地區設施管理委員會,定期,4,6
成漢强,2015,2016,317,15,地區設施管理委員會,定期,6,6
區能發,2015,2016,290,15,地區設施管理委員會,定期,6,6
陳繼偉,2015,2016,291,15,地區設施管理委員會,定期,6,6
陳博智,2015,2016,292,15,地區設施管理委員會,定期,5,6
周賢明,2015,2016,293,15,地區設施管理委員會,定期,6,6
張展鵬,2015,2016,294,15,地區設施管理委員會,定期,6,6
張美雄,2015,2016,295,15,地區設施管理委員會,定期,6,6
莊元苳,2015,2016,296,15,地區設施管理委員會,定期,6,6
鍾錦麟,2015,2016,297,15,地區設施管理委員會,定期,5,6
范國威,2015,2016,298,15,地區設施管理委員會,定期,6,6
方國珊,2015,2016,299,15,地區設施管理委員會,定期,6,6
邱戊秀,2015,2016,300,15,地區設施管理委員會,定期,6,6
何民傑,2015,2016,301,15,地區設施管理委員會,定期,6,6
簡兆祺,2015,2016,302,15,地區設施管理委員會,定期,4,6
黎銘澤,2015,2016,303,15,地區設施管理委員會,定期,6,6
林少忠,2015,2016,304,15,地區設施管理委員會,定期,6,6
劉偉章,2015,2016,306,15,地區設施管理委員會,定期,6,6
梁里,2015,2016,307,15,地區設施管理委員會,定期,6,6
李家良,2015,2016,308,15,地區設施管理委員會,定期,5,6
凌文海,2015,2016,289,15,地區設施管理委員會,定期,6,6
呂文光,2015,2016,309,15,地區設施管理委員會,定期,6,6
陸平才,2015,2016,310,15,地區設施管理委員會,定期,4,6
譚領律,2015,2016,311,15,地區設施管理委員會,定期,6,6
謝正楓,2015,2016,312,15,地區設施管理委員會,定期,5,6
温啟明,2015,2016,313,15,地區設施管理委員會,定期,5,6
温悦昌,2015,2016,314,15,地區設施管理委員會,定期,6,6
王水生,2015,2016,315,15,地區設施管理委員會,定期,6,6
邱玉麟,2015,2016,316,15,地區設施管理委員會,定期,6,6
吳仕福,2015,2016,288,15,地區設施管理委員會,特別,0,1
成漢强,2015,2016,317,15,地區設施管理委員會,特別,1,1
區能發,2015,2016,290,15,地區設施管理委員會,特別,1,1
陳繼偉,2015,2016,291,15,地區設施管理委員會,特別,1,1
陳博智,2015,2016,292,15,地區設施管理委員會,特別,1,1
周賢明,2015,2016,293,15,地區設施管理委員會,特別,0,1
張展鵬,2015,2016,294,15,地區設施管理委員會,特別,1,1
張美雄,2015,2016,295,15,地區設施管理委員會,特別,1,1
莊元苳,2015,2016,296,15,地區設施管理委員會,特別,1,1
鍾錦麟,2015,2016,297,15,地區設施管理委員會,特別,1,1
范國威,2015,2016,298,15,地區設施管理委員會,特別,0,1
方國珊,2015,2016,299,15,地區設施管理委員會,特別,1,1
邱戊秀,2015,2016,300,15,地區設施管理委員會,特別,1,1
何民傑,2015,2016,301,15,地區設施管理委員會,特別,0,1
簡兆祺,2015,2016,302,15,地區設施管理委員會,特別,1,1
黎銘澤,2015,2016,303,15,地區設施管理委員會,特別,1,1
林少忠,2015,2016,304,15,地區設施管理委員會,特別,1,1
劉偉章,2015,2016,306,15,地區設施管理委員會,特別,1,1
梁里,2015,2016,307,15,地區設施管理委員會,特別,1,1
李家良,2015,2016,308,15,地區設施管理委員會,特別,1,1
凌文海,2015,2016,289,15,地區設施管理委員會,特別,1,1
呂文光,2015,2016,309,15,地區設施管理委員會,特別,1,1
陸平才,2015,2016,310,15,地區設施管理委員會,特別,1,1
譚領律,2015,2016,311,15,地區設施管理委員會,特別,0,1
謝正楓,2015,2016,312,15,地區設施管理委員會,特別,1,1
温啟明,2015,2016,313,15,地區設施管理委員會,特別,1,1
温悦昌,2015,2016,314,15,地區設施管理委員會,特別,1,1
王水生,2015,2016,315,15,地區設施管理委員會,特別,1,1
邱玉麟,2015,2016,316,15,地區設施管理委員會,特別,1,1
吳仕福,2015,2016,288,15,財務及行政委員會,定期,6,6
成漢强,2015,2016,317,15,財務及行政委員會,定期,5,6
區能發,2015,2016,290,15,財務及行政委員會,定期,6,6
陳繼偉,2015,2016,291,15,財務及行政委員會,定期,6,6
陳博智,2015,2016,292,15,財務及行政委員會,定期,6,6
周賢明,2015,2016,293,15,財務及行政委員會,定期,5,6
張展鵬,2015,2016,294,15,財務及行政委員會,定期,6,6
張美雄,2015,2016,295,15,財務及行政委員會,定期,6,6
莊元苳,2015,2016,296,15,財務及行政委員會,定期,6,6
鍾錦麟,2015,2016,297,15,財務及行政委員會,定期,5,6
何民傑,2015,2016,301,15,財務及行政委員會,定期,6,6
簡兆祺,2015,2016,302,15,財務及行政委員會,定期,4,6
黎銘澤,2015,2016,303,15,財務及行政委員會,定期,6,6
劉偉章,2015,2016,306,15,財務及行政委員會,定期,6,6
李家良,2015,2016,308,15,財務及行政委員會,定期,5,6
呂文光,2015,2016,309,15,財務及行政委員會,定期,6,6
譚領律,2015,2016,311,15,財務及行政委員會,定期,6,6
謝正楓,2015,2016,312,15,財務及行政委員會,定期,5,6
温啟明,2015,2016,313,15,財務及行政委員會,定期,6,6
温悦昌,2015,2016,314,15,財務及行政委員會,定期,6,6
王水生,2015,2016,315,15,財務及行政委員會,定期,6,6
吳仕福,2015,2016,288,15,房屋及環境衞生委員會,定期,6,6
成漢强,2015,2016,317,15,房屋及環境衞生委員會,定期,5,6
區能發,2015,2016,290,15,房屋及環境衞生委員會,定期,6,6
陳繼偉,2015,2016,291,15,房屋及環境衞生委員會,定期,6,6
陳博智,2015,2016,292,15,房屋及環境衞生委員會,定期,6,6
周賢明,2015,2016,293,15,房屋及環境衞生委員會,定期,6,6
張美雄,2015,2016,295,15,房屋及環境衞生委員會,定期,6,6
莊元苳,2015,2016,296,15,房屋及環境衞生委員會,定期,6,6
鍾錦麟,2015,2016,297,15,房屋及環境衞生委員會,定期,5,6
范國威,2015,2016,298,15,房屋及環境衞生委員會,定期,6,6
方國珊,2015,2016,299,15,房屋及環境衞生委員會,定期,6,6
邱戊秀,2015,2016,300,15,房屋及環境衞生委員會,定期,6,6
何民傑,2015,2016,301,15,房屋及環境衞生委員會,定期,5,6
簡兆祺,2015,2016,302,15,房屋及環境衞生委員會,定期,6,6
黎銘澤,2015,2016,303,15,房屋及環境衞生委員會,定期,6,6
林少忠,2015,2016,304,15,房屋及環境衞生委員會,定期,5,6
劉偉章,2015,2016,306,15,房屋及環境衞生委員會,定期,6,6
梁里,2015,2016,307,15,房屋及環境衞生委員會,定期,6,6
李家良,2015,2016,308,15,房屋及環境衞生委員會,定期,6,6
凌文海,2015,2016,289,15,房屋及環境衞生委員會,定期,6,6
呂文光,2015,2016,309,15,房屋及環境衞生委員會,定期,6,6
陸平才,2015,2016,310,15,房屋及環境衞生委員會,定期,3,6
譚領律,2015,2016,311,15,房屋及環境衞生委員會,定期,6,6
謝正楓,2015,2016,312,15,房屋及環境衞生委員會,定期,6,6
温啟明,2015,2016,313,15,房屋及環境衞生委員會,定期,6,6
温悦昌,2015,2016,314,15,房屋及環境衞生委員會,定期,5,6
邱玉麟,2015,2016,316,15,房屋及環境衞生委員會,定期,6,6
吳仕福,2015,2016,288,15,社會服務及健康安全城市委員會,定期,6,6
成漢强,2015,2016,317,15,社會服務及健康安全城市委員會,定期,5,6
區能發,2015,2016,290,15,社會服務及健康安全城市委員會,定期,6,6
陳繼偉,2015,2016,291,15,社會服務及健康安全城市委員會,定期,6,6
陳博智,2015,2016,292,15,社會服務及健康安全城市委員會,定期,6,6
周賢明,2015,2016,293,15,社會服務及健康安全城市委員會,定期,5,6
張展鵬,2015,2016,294,15,社會服務及健康安全城市委員會,定期,6,6
張美雄,2015,2016,295,15,社會服務及健康安全城市委員會,定期,6,6
莊元苳,2015,2016,296,15,社會服務及健康安全城市委員會,定期,6,6
鍾錦麟,2015,2016,297,15,社會服務及健康安全城市委員會,定期,6,6
何民傑,2015,2016,301,15,社會服務及健康安全城市委員會,定期,5,6
簡兆祺,2015,2016,302,15,社會服務及健康安全城市委員會,定期,5,6
黎銘澤,2015,2016,303,15,社會服務及健康安全城市委員會,定期,6,6
劉偉章,2015,2016,306,15,社會服務及健康安全城市委員會,定期,6,6
李家良,2015,2016,308,15,社會服務及健康安全城市委員會,定期,6,6
呂文光,2015,2016,309,15,社會服務及健康安全城市委員會,定期,6,6
陸平才,2015,2016,310,15,社會服務及健康安全城市委員會,定期,5,6
譚領律,2015,2016,311,15,社會服務及健康安全城市委員會,定期,6,6
謝正楓,2015,2016,312,15,社會服務及健康安全城市委員會,定期,6,6
温啟明,2015,2016,313,15,社會服務及健康安全城市委員會,定期,5,6
區能發,2015,2016,290,15,交通及運輸委員會,定期,6,6
陳繼偉,2015,2016,291,15,交通及運輸委員會,定期,6,6
陳博智,2015,2016,292,15,交通及運輸委員會,定期,4,6
周賢明,2015,2016,293,15,交通及運輸委員會,定期,5,6
張美雄,2015,2016,295,15,交通及運輸委員會,定期,6,6
莊元苳,2015,2016,296,15,交通及運輸委員會,定期,6,6
鍾錦麟,2015,2016,297,15,交通及運輸委員會,定期,6,6
范國威,2015,2016,298,15,交通及運輸委員會,定期,6,6
方國珊,2015,2016,299,15,交通及運輸委員會,定期,6,6
邱戊秀,2015,2016,300,15,交通及運輸委員會,定期,4,6
何民傑,2015,2016,301,15,交通及運輸委員會,定期,6,6
簡兆祺,2015,2016,302,15,交通及運輸委員會,定期,6,6
黎銘澤,2015,2016,303,15,交通及運輸委員會,定期,6,6
林少忠,2015,2016,304,15,交通及運輸委員會,定期,6,6
劉偉章,2015,2016,306,15,交通及運輸委員會,定期,6,6
梁里,2015,2016,307,15,交通及運輸委員會,定期,5,6
李家良,2015,2016,308,15,交通及運輸委員會,定期,6,6
凌文海,2015,2016,289,15,交通及運輸委員會,定期,6,6
呂文光,2015,2016,309,15,交通及運輸委員會,定期,6,6
陸平才,2015,2016,310,15,交通及運輸委員會,定期,5,6
譚領律,2015,2016,311,15,交通及運輸委員會,定期,5,6
謝正楓,2015,2016,312,15,交通及運輸委員會,定期,6,6
温啟明,2015,2016,313,15,交通及運輸委員會,定期,5,6
温悦昌,2015,2016,314,15,交通及運輸委員會,定期,4,6
邱玉麟,2015,2016,316,15,交通及運輸委員會,定期,6,6
吳仕福,2015,2016,288,15,社區重點項目計劃委員會,定期,6,6
成漢强,2015,2016,317,15,社區重點項目計劃委員會,定期,5,6
陳博智,2015,2016,292,15,社區重點項目計劃委員會,定期,6,6
